Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Orders,Unit Cost,Total Cost (Current),Average Age,Aircraft  Manufacturer,Aircraft Model
Delta Airlines,Delta Airlines,Airbus A319,57,12,261,57,137,90,5107,14.8,Airbus,A319
easyJet,easyJet,Airbus A319,133,12,39,172,137,90,11917,9.6,Airbus,A319
easyJet,easyJet - Switzerland,Airbus A319,11,12,22,33,137,90,986,5.5,Airbus,A319
Emirates,Emirates,Airbus A319,1,12,261,1,137,90,90,5.3,Airbus,A319
Etihad Airways,Etihad Airways,Airbus A319,2,12,2,4,137,90,179,13.7,Airbus,A319
Finnair,Finnair,Airbus A319,9,12,2,11,137,90,806,15.5,Airbus,A319
Frontier Airlines,Frontier Airlines,Airbus A319,23,12,30,53,18,90,2061,11.9,Airbus,A319
Gulf Air,Gulf Air,Airbus A319,565,12,2,2,137,90,0,18,Airbus,A319
Hainan Airlines,Lucky Air (86.68%),Airbus A319,3,12,261,3,137,90,269,11,Airbus,A319
Hainan Airlines,Capital Airlines (70%),Airbus A319,19,12,10,29,137,90,1702,8.6,Airbus,A319
Hainan Airlines,Hainan Airlines,Airbus A319,565,12,6,6,137,90,0,18,Airbus,A319
IAG,British Airways,Airbus A319,44,12,261,44,137,90,3942,15,Airbus,A319
IAG,Iberia,Airbus A319,16,12,11,27,137,90,1434,11.4,Airbus,A319
IAG,Vueling,Airbus A319,5,12,5,10,3,90,448,9.6,Airbus,A319
IAG,Aer Lingus,Airbus A319,565,12,4,4,137,90,0,18,Airbus,A319
Juneyao Airlines,Juneyao Airlines,Airbus A319,565,12,2,2,137,90,0,18,Airbus,A319
LATAM Airlines Chile,LATAM Airlines Brazil,Airbus A319,23,12,2,25,137,90,2061,9.1,Airbus,A319
LATAM Airlines Chile,LATAM Airlines Chile,Airbus A319,17,12,261,17,137,90,1523,9.7,Airbus,A319
LATAM Airlines Chile,LATAM Airlines Ecuador,Airbus A319,6,12,261,6,137,90,538,7,Airbus,A319
LATAM Airlines Chile,LATAM Airlines Peru,Airbus A319,8,12,261,2,137,90,717,11.2,Airbus,A319
Lufthansa,Lufthansa,Airbus A319,30,12,5,35,137,90,2688,14.9,Airbus,A319
Lufthansa,Austrian Airlines,Airbus A319,7,12,261,7,137,90,627,12,Airbus,A319
Lufthansa,Brussels Airlines,Airbus A319,21,1,1,23,2,90,1882,12.6,Airbus,A319
Lufthansa,Germanwings,Airbus A319,43,12,7,50,137,90,3853,10.8,Airbus,A319
Lufthansa,Swiss International Airlines,Airbus A319,5,12,3,8,137,90,448,20,Airbus,A319
Lufthansa,Brussels Airlines,Airbus A319,21,1,1,23,2,90,1882,12.6,Airbus,A319
Lufthansa,Eurowings,Airbus A319,565,12,5,5,6,90,0,18,Airbus,A319
Meridiana,Air Italy,Airbus A319,565,12,4,4,137,419,38425,18,Airbus,A319
Philippine Airlines,Philippine Airlines,Airbus A319,565,12,4,4,137,90,0,18,Airbus,A319
Qatar Airways,Qatar Executive,Airbus A319,2,12,261,54,10,90,179,18,Airbus,A319
Qatar Airways,Qatar Airways,Airbus A319,2,12,1,3,137,90,179,13.4,Airbus,A319
Royal Jordanian,Royal Jordanian,Airbus A319,4,12,261,4,137,90,358,8.1,Airbus,A319
S7 Airlines,S7 Airlines,Airbus A319,19,12,1,20,137,90,1702,14.6,Airbus,A319
SAS Group,Scandinavian Airlines,Airbus A319,4,12,261,4,137,90,358,9.8,Airbus,A319
Saudi Arabian Airlines,Saudi Arabian Airlines,Airbus A319,5,12,261,5,137,90,448,12.2,Airbus,A319
Singapore Airlines,SilkAir,Airbus A319,3,12,5,8,137,90,269,8.3,Airbus,A319
South African Airways,South African Airways,Airbus A319,8,12,3,11,137,90,717,11.9,Airbus,A319
SpiceJet,SpiceJet,Airbus A319,565,12,1,1,137,90,0,18,Airbus,A319
Spirit Airlines,Spirit Airlines,Airbus A319,29,12,4,33,137,90,2598,10.5,Airbus,A319
TAP Portugal,TAP Portugal,Airbus A319,21,12,261,21,137,90,1882,17.5,Airbus,A319
Thomas Cook Airlines,Condor,Airbus A319,565,12,1,1,137,90,0,18,Airbus,A319
Thomas Cook Airlines,Thomas Cook Airlines Belgium,Airbus A319,565,12,1,1,137,90,0,18,Airbus,A319
Tunisair,Tunisair,Airbus A319,4,12,261,4,137,90,358,15.5,Airbus,A319
Turkish Airlines,Turkish Airlines,Airbus A319,14,12,261,14,137,90,1254,8.7,Airbus,A319
United Airlines,United Airlines,Airbus A319,59,20,261,80,3,90,5286,16.5,Airbus,A319
Virgin America,Virgin America,Airbus A319,10,12,261,10,137,90,896,9.2,Airbus,A319
Volaris,Volaris,Airbus A319,15,12,9,24,137,90,1344,9.7,Airbus,A319
Aegean Airlines,Aegean Airlines,Airbus A320,38,12,3,41,137,98,3724,7.5,Airbus,A320
Aegean Airlines,Olympic Air,Airbus A320,565,12,9,9,137,98,0,18,Airbus,A320
Aeroflot,Aeroflot,Airbus A320,71,1,3,75,11,98,6958,5.7,Airbus,A320
Aeroflot,Rossiya Airlines,Airbus A320,5,12,8,13,137,98,490,15.2,Airbus,A320
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A320,565,12,2,2,137,98,0,18,Airbus,A320
Air Algerie,Air Algerie,Airbus A320,565,12,4,4,137,98,0,18,Airbus,A320
Air Arabia,Air Arabia,Airbus A320,38,12,28,66,137,98,3724,2.9,Airbus,A320
Air Arabia,Air Arabia Egypt,Airbus A320,1,12,2,3,137,98,98,9.6,Airbus,A320
Air Arabia,Air Arabia Jordan,Airbus A320,2,12,1,3,137,98,196,10,Airbus,A320
Air Arabia,Air Arabia Maroc,Airbus A320,5,12,5,10,137,98,490,4.4,Airbus,A320
Air Astana,Air Astana,Airbus A320,9,12,6,15,2,98,882,3.6,Airbus,A320
Air Berlin,Air Berlin,Airbus A320,54,7,50,111,137,98,5292,7.6,Airbus,A320
Air Canada,Air Canada,Airbus A320,42,12,13,55,137,98,4116,23.3,Airbus,A320
Air Canada,Air Canada Jetz,Airbus A320,565,12,5,5,137,419,0,18,Airbus,A320
Air China,Air China,Airbus A320,43,2,5,50,49,98,4214,4.6,Airbus,A320
Air China,Shenzhen Airlines,Airbus A320,79,1,1,81,137,98,7742,5.3,Airbus,A320
Air China,Air Macau (66.9%),Airbus A320,3,12,4,7,137,98,294,3.9,Airbus,A320
Air France/KLM,Air France,Airbus A320,43,12,63,106,2,98,4214,9.2,Airbus,A320
Air France/KLM,Transavia France,Airbus A320,565,12,4,4,137,98,0,18,Airbus,A320
Air France/KLM,Martinair,Airbus A320,565,12,7,7,137,98,0,18,Airbus,A320
Air India,Air India,Airbus A320,26,4,12,42,14,98,2548,17.7,Airbus,A320
Air Malta,Air Malta,Airbus A320,6,12,261,6,137,419,38425,18,Airbus,A320
Air New Zealand,Air New Zealand,Airbus A320,30,12,261,30,137,98,2940,7,Airbus,A320
Air Transat,Air Transat,Airbus A320,565,12,2,2,137,98,0,18,Airbus,A320
AirAsia,AirAsia,Airbus A320,77,12,30,107,301,98,7546,6.2,Airbus,A320
AirAsia,AirAsia India,Airbus A320,8,12,261,8,12,98,784,6.6,Airbus,A320
AirAsia,AirAsia Japan,Airbus A320,2,12,5,7,137,98,196,1.1,Airbus,A320
AirAsia,Thai AirAsia,Airbus A320,50,2,261,52,137,98,4900,5,Airbus,A320
AirAsia,Indonesia AirAsia,Airbus A320,17,12,17,34,137,98,1666,6,Airbus,A320
AirAsia,Indonesia AirAsia X,Airbus A320,5,12,261,5,30,98,490,7.6,Airbus,A320
AirAsia,Philippines AirAsia,Airbus A320,15,12,261,54,20,98,1470,18,Airbus,A320
Alitalia,Alitalia,Airbus A320,44,12,10,54,6,98,4312,9.9,Airbus,A320
All Nippon Airways,Vanilla Air,Airbus A320,10,2,3,15,137,98,980,2,Airbus,A320
All Nippon Airways,All Nippon Airways,Airbus A320,10,3,23,36,7,98,980,21.2,Airbus,A320
Allegiant Air,Allegiant Air,Airbus A320,16,12,261,16,15,98,1568,17.1,Airbus,A320
American Airlines,American Airlines,Airbus A320,51,12,17,68,137,98,4998,15.5,Airbus,A320
Asiana Airlines,Asiana Airlines,Airbus A320,7,12,4,11,137,98,686,9.3,Airbus,A320
Asiana Airlines,Air Busan,Airbus A320,6,12,261,6,137,98,588,10.9,Airbus,A320
Avianca,Avianca,Airbus A320,40,1,3,44,111,98,3920,5,Airbus,A320
Avianca,Avianca Brazil,Airbus A320,29,3,1,33,61,98,2842,2.5,Airbus,A320
Avianca,Avianca Ecuador,Airbus A320,4,12,261,4,137,98,392,6.8,Airbus,A320
Avianca,Avianca Peru,Airbus A320,5,12,261,1,137,98,490,12.2,Airbus,A320
Avianca,Avianca El Salvador/TACA Airlines,Airbus A320,18,12,1,19,137,98,1764,8.9,Airbus,A320
Azul,Azul,Airbus A320,4,4,261,8,59,98,392,0.1,Airbus,A320
Cathay Pacific,Cathay Dragon,Airbus A320,15,12,261,15,137,98,1470,11.6,Airbus,A320
Cebu Pacific Air,Cebu Pacific Air,Airbus A320,36,12,6,42,137,98,3528,4.4,Airbus,A320
China Airlines,Tigerair Taiwan (80%),Airbus A320,9,1,261,10,3,98,882,2.3,Airbus,A320
China Airlines,China Airlines,Airbus A320,565,12,2,2,137,98,0,18,Airbus,A320
China Eastern Airlines,China Eastern Airlines,Airbus A320,165,2,24,191,130,98,16170,6.8,Airbus,A320
China Southern Airlines,China Southern Airlines,Airbus A320,123,8,14,145,25,98,12054,7.3,Airbus,A320
Delta Airlines,Delta Airlines,Airbus A320,69,12,261,69,137,98,6762,21.8,Airbus,A320
easyJet,easyJet,Airbus A320,101,3,24,128,165,98,9898,3.6,Airbus,A320
easyJet,easyJet - Switzerland,Airbus A320,15,12,261,15,137,98,1470,5,Airbus,A320
EgyptAir,EgyptAir,Airbus A320,6,12,7,13,137,98,588,17.1,Airbus,A320
EgyptAir,Air Cairo,Airbus A320,6,12,1,7,137,98,588,9.1,Airbus,A320
EgyptAir,EgyptAir Cargo,Airbus A320,565,12,261,54,2,98,0,18,Airbus,A320
Etihad Airways,Etihad Airways,Airbus A320,23,12,4,27,10,98,2254,6.6,Airbus,A320
EVA Air,EVA Air,Airbus A320,565,12,1,1,137,98,0,18,Airbus,A320
Finnair,Finnair,Airbus A320,10,12,2,12,137,98,980,14.4,Airbus,A320
Frontier Airlines,Frontier Airlines,Airbus A320,28,7,1,36,59,98,2744,5.7,Airbus,A320
Garuda Indonesia,Citilink,Airbus A320,41,5,261,46,44,98,4018,4.6,Airbus,A320
Gulf Air,Gulf Air,Airbus A320,16,12,18,34,12,98,1568,6.2,Airbus,A320
Hainan Airlines,Lucky Air (86.68%),Airbus A320,7,1,261,8,137,98,686,4,Airbus,A320
Hainan Airlines,Capital Airlines (70%),Airbus A320,34,12,261,34,137,98,3332,3.8,Airbus,A320
IAG,British Airways,Airbus A320,67,12,11,78,25,98,6566,10.5,Airbus,A320
IAG,Iberia,Airbus A320,14,1,60,75,24,98,1372,10,Airbus,A320
IAG,Iberia Express,Airbus A320,18,12,12,30,137,98,1764,13,Airbus,A320
IAG,Aer Lingus,Airbus A320,34,12,6,40,137,98,3332,10.9,Airbus,A320
IAG,Vueling,Airbus A320,93,1,40,134,32,98,9114,7.2,Airbus,A320
IndiGo,IndiGo,Airbus A320,124,10,16,150,400,98,12152,5.2,Airbus,A320
Interjet,Interjet,Airbus A320,45,1,4,50,40,98,4410,8.5,Airbus,A320
Jet Airways,Jet Airways,Airbus A320,565,12,1,1,137,98,0,18,Airbus,A320
Jet2,Jet2,Airbus A320,565,12,2,2,137,98,0,18,Airbus,A320
JetBlue,JetBlue Airways,Airbus A320,130,12,12,142,25,98,12740,11.3,Airbus,A320
Juneyao Airlines,Juneyao Airlines,Airbus A320,41,12,261,41,137,98,4018,5.2,Airbus,A320
LATAM Airlines Chile,LATAM Airlines Argentina,Airbus A320,14,12,261,14,137,98,1372,14.6,Airbus,A320
LATAM Airlines Chile,LATAM Airlines Brazil,Airbus A320,73,1,7,81,33,98,7154,10,Airbus,A320
LATAM Airlines Chile,LATAM Airlines Chile,Airbus A320,56,12,3,59,20,98,5488,4.8,Airbus,A320
Lion Air,Batik Air,Airbus A320,27,1,261,28,137,98,2646,1.1,Airbus,A320
Lion Air,Lion Air,Airbus A320,565,12,261,54,221,98,0,18,Airbus,A320
Lufthansa,Lufthansa,Airbus A320,66,1,26,93,77,98,6468,9.3,Airbus,A320
Lufthansa,Austrian Airlines,Airbus A320,18,12,261,18,137,98,1764,14.8,Airbus,A320
Lufthansa,Brussels Airlines,Airbus A320,9,12,261,9,1,98,882,13.1,Airbus,A320
Lufthansa,Eurowings,Airbus A320,21,4,4,29,33,98,2058,1.3,Airbus,A320
Lufthansa,Eurowings Europe,Airbus A320,3,12,261,3,137,98,294,0.7,Airbus,A320
Lufthansa,Germanwings,Airbus A320,16,12,10,26,137,98,1568,25.4,Airbus,A320
Lufthansa,Swiss International Airlines,Airbus A320,22,12,4,26,137,98,2156,16.6,Airbus,A320
Lufthansa,Edelweiss Air,Airbus A320,6,12,261,6,137,98,588,15.7,Airbus,A320
Lufthansa,Brussels Airlines,Airbus A320,9,12,261,9,1,98,882,13.1,Airbus,A320
Meridiana,Air Italy,Airbus A320,565,12,7,7,137,419,38425,18,Airbus,A320
Monarch Airlines,Monarch Airlines,Airbus A320,9,12,12,21,137,98,882,12.3,Airbus,A320
Norwegian Air,Norwegian Air,Airbus A320,1,12,261,54,69,98,98,18,Airbus,A320
Oman Air,Oman Air,Airbus A320,565,12,5,5,137,98,0,18,Airbus,A320
Pakistan International Airlines,Pakistan International Airlines,Airbus A320,11,2,1,14,2,98,1078,10.9,Airbus,A320
Pegasus Airlines,Pegasus Airlines,Airbus A320,17,5,5,27,52,98,1666,2.1,Airbus,A320
Philippine Airlines,Philippine Airlines,Airbus A320,10,12,15,25,137,98,980,6.9,Airbus,A320
Philippine Airlines,PAL Express,Airbus A320,9,12,9,18,137,98,882,6.4,Airbus,A320
Qantas Airways,Jetstar Airways,Airbus A320,53,12,13,66,137,98,5194,7.2,Airbus,A320
Qatar Airways,Qatar Airways,Airbus A320,35,5,6,46,30,98,3430,7.4,Airbus,A320
Qatar Airways,Al Maha Airways,Airbus A320,4,12,261,4,137,98,392,1.4,Airbus,A320
Royal Air Maroc,Royal Air Maroc,Airbus A320,1,12,261,1,137,98,98,14.8,Airbus,A320
Royal Jordanian,Royal Jordanian,Airbus A320,6,12,8,14,137,98,588,5.8,Airbus,A320
Royal Jordanian,Royal Wings,Airbus A320,1,12,261,1,137,98,98,21,Airbus,A320
S7 Airlines,S7 Airlines,Airbus A320,19,12,261,19,6,98,1862,6.1,Airbus,A320
SAS Group,Scandinavian Airlines,Airbus A320,16,4,261,20,26,98,1568,8.9,Airbus,A320
Saudi Arabian Airlines,Saudi Arabian Airlines,Airbus A320,35,5,9,49,4,98,3430,6.4,Airbus,A320
Singapore Airlines,SilkAir,Airbus A320,11,12,8,19,137,98,1078,6.7,Airbus,A320
South African Airways,South African Airways,Airbus A320,12,12,7,19,137,98,1176,3,Airbus,A320
SpiceJet,SpiceJet,Airbus A320,565,12,1,1,137,98,0,18,Airbus,A320
Spirit Airlines,Spirit Airlines,Airbus A320,49,1,261,50,60,98,4802,3.1,Airbus,A320
Spring Airlines,Spring Airlines,Airbus A320,65,4,8,77,63,98,6370,3.7,Airbus,A320
SunExpress,SunExpress,Airbus A320,565,12,3,3,137,98,0,18,Airbus,A320
TAP Portugal,TAP Portugal,Airbus A320,19,12,6,25,17,98,1862,12.8,Airbus,A320
Thai Airways,Thai Smile,Airbus A320,20,12,261,20,137,98,1960,3,Airbus,A320
Thai Airways,Thai Airways,Airbus A320,565,12,5,5,137,98,0,18,Airbus,A320
Thomas Cook Airlines,Condor,Airbus A320,9,12,5,14,137,98,882,17.8,Airbus,A320
Thomas Cook Airlines,Thomas Cook Airlines Belgium,Airbus A320,5,12,15,20,137,98,490,14.7,Airbus,A320
Thomas Cook Airlines,Thomas Cook Airlines,Airbus A320,565,12,30,30,137,98,0,18,Airbus,A320
Thomas Cook Airlines,Thomas Cook Airlines Scandinavia,Airbus A320,565,12,2,2,137,98,0,18,Airbus,A320
Tianjin Airlines,Tianjin Airlines,Airbus A320,23,4,261,27,137,98,2254,3.7,Airbus,A320
Tianjin Airlines,GX Airlines,Airbus A320,3,12,261,3,137,98,294,2.5,Airbus,A320
TUI Group,Thomson Airways,Airbus A320,565,12,5,5,137,98,0,18,Airbus,A320
Tunisair,Tunisair,Airbus A320,17,12,3,20,4,98,1666,15.7,Airbus,A320
Turkish Airlines,Turkish Airlines,Airbus A320,29,12,17,46,137,98,2842,9.7,Airbus,A320
Turkish Airlines,Anadolujet (100%),Airbus A320,565,12,10,10,137,98,0,18,Airbus,A320
United Airlines,United Airlines,Airbus A320,97,12,1,98,137,98,9506,18.6,Airbus,A320
Vietnam Airlines,Cambodia Angkor Air,Airbus A320,1,1,261,2,1,98,98,0.1,Airbus,A320
Vietnam Airlines,Jetstar Pacific Airlines,Airbus A320,13,1,4,18,10,98,1274,7,Airbus,A320
Vietnam Airlines,Vietnam Airlines,Airbus A320,565,12,19,19,137,98,0,18,Airbus,A320
